Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
clean_SRR24510779_R1	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 0.0)	(22.0, 6.0)	(23.0, 12.0)	(24.0, 24.0)	(25.0, 26.0)	(26.0, 42.0)	(27.0, 73.0)	(28.0, 78.0)	(29.0, 122.0)	(30.0, 166.0)	(31.0, 213.0)	(32.0, 285.0)	(33.0, 371.0)	(34.0, 449.0)	(35.0, 695.0)	(36.0, 1182.0)	(37.0, 3128.0)	(38.0, 16781.0)	
clean_SRR24510779_R2	(17.0, 2.0)	(18.0, 7.0)	(19.0, 15.0)	(20.0, 46.0)	(21.0, 63.0)	(22.0, 79.0)	(23.0, 108.0)	(24.0, 126.0)	(25.0, 153.0)	(26.0, 170.0)	(27.0, 199.0)	(28.0, 264.0)	(29.0, 262.0)	(30.0, 351.0)	(31.0, 376.0)	(32.0, 462.0)	(33.0, 593.0)	(34.0, 812.0)	(35.0, 1100.0)	(36.0, 1816.0)	(37.0, 4750.0)	(38.0, 11901.0)		
clean_SRR24510780_R1	(20.0, 1.0)	(21.0, 0.0)	(22.0, 5.0)	(23.0, 6.0)	(24.0, 16.0)	(25.0, 28.0)	(26.0, 34.0)	(27.0, 66.0)	(28.0, 93.0)	(29.0, 129.0)	(30.0, 174.0)	(31.0, 244.0)	(32.0, 302.0)	(33.0, 434.0)	(34.0, 590.0)	(35.0, 871.0)	(36.0, 1513.0)	(37.0, 4517.0)	(38.0, 29201.0)					
clean_SRR24510780_R2	(17.0, 5.0)	(18.0, 6.0)	(19.0, 16.0)	(20.0, 43.0)	(21.0, 57.0)	(22.0, 104.0)	(23.0, 123.0)	(24.0, 141.0)	(25.0, 174.0)	(26.0, 223.0)	(27.0, 250.0)	(28.0, 306.0)	(29.0, 323.0)	(30.0, 405.0)	(31.0, 459.0)	(32.0, 567.0)	(33.0, 729.0)	(34.0, 1006.0)	(35.0, 1392.0)	(36.0, 2560.0)	(37.0, 7452.0)	(38.0, 21883.0)		
clean_SRR24510782_R1	(20.0, 2.0)	(21.0, 2.0)	(22.0, 5.0)	(23.0, 10.0)	(24.0, 15.0)	(25.0, 18.0)	(26.0, 26.0)	(27.0, 37.0)	(28.0, 70.0)	(29.0, 108.0)	(30.0, 149.0)	(31.0, 206.0)	(32.0, 276.0)	(33.0, 389.0)	(34.0, 561.0)	(35.0, 801.0)	(36.0, 1520.0)	(37.0, 4406.0)	(38.0, 21243.0)					
clean_SRR24510782_R2	(17.0, 1.0)	(18.0, 4.0)	(19.0, 16.0)	(20.0, 27.0)	(21.0, 68.0)	(22.0, 76.0)	(23.0, 108.0)	(24.0, 116.0)	(25.0, 141.0)	(26.0, 161.0)	(27.0, 197.0)	(28.0, 248.0)	(29.0, 252.0)	(30.0, 336.0)	(31.0, 420.0)	(32.0, 536.0)	(33.0, 705.0)	(34.0, 939.0)	(35.0, 1358.0)	(36.0, 2361.0)	(37.0, 6505.0)	(38.0, 15269.0)		
clean_SRR37461704_R1	(19.0, 2.0)	(20.0, 2.0)	(21.0, 4.0)	(22.0, 13.0)	(23.0, 31.0)	(24.0, 36.0)	(25.0, 52.0)	(26.0, 88.0)	(27.0, 151.0)	(28.0, 224.0)	(29.0, 358.0)	(30.0, 512.0)	(31.0, 692.0)	(32.0, 860.0)	(33.0, 1212.0)	(34.0, 1736.0)	(35.0, 2541.0)	(36.0, 4172.0)	(37.0, 10451.0)	(38.0, 35512.0)				
clean_SRR37461704_R2	(16.0, 1.0)	(17.0, 17.0)	(18.0, 36.0)	(19.0, 38.0)	(20.0, 31.0)	(21.0, 59.0)	(22.0, 66.0)	(23.0, 105.0)	(24.0, 129.0)	(25.0, 215.0)	(26.0, 282.0)	(27.0, 352.0)	(28.0, 484.0)	(29.0, 655.0)	(30.0, 751.0)	(31.0, 995.0)	(32.0, 1176.0)	(33.0, 1660.0)	(34.0, 2268.0)	(35.0, 3574.0)	(36.0, 6037.0)	(37.0, 15640.0)	(38.0, 24078.0)	
clean_SRR37461705_R1	(19.0, 1.0)	(20.0, 3.0)	(21.0, 4.0)	(22.0, 9.0)	(23.0, 17.0)	(24.0, 51.0)	(25.0, 83.0)	(26.0, 124.0)	(27.0, 222.0)	(28.0, 327.0)	(29.0, 495.0)	(30.0, 729.0)	(31.0, 1001.0)	(32.0, 1326.0)	(33.0, 1779.0)	(34.0, 2389.0)	(35.0, 3344.0)	(36.0, 5661.0)	(37.0, 12248.0)	(38.0, 27078.0)				
clean_SRR37461705_R2	(16.0, 1.0)	(17.0, 4.0)	(18.0, 28.0)	(19.0, 20.0)	(20.0, 26.0)	(21.0, 35.0)	(22.0, 48.0)	(23.0, 76.0)	(24.0, 110.0)	(25.0, 154.0)	(26.0, 191.0)	(27.0, 269.0)	(28.0, 326.0)	(29.0, 446.0)	(30.0, 554.0)	(31.0, 801.0)	(32.0, 1011.0)	(33.0, 1472.0)	(34.0, 2047.0)	(35.0, 3358.0)	(36.0, 6242.0)	(37.0, 16798.0)	(38.0, 22874.0)	
clean_SRR37461706_R1	(21.0, 4.0)	(22.0, 4.0)	(23.0, 18.0)	(24.0, 18.0)	(25.0, 40.0)	(26.0, 65.0)	(27.0, 107.0)	(28.0, 158.0)	(29.0, 286.0)	(30.0, 372.0)	(31.0, 540.0)	(32.0, 702.0)	(33.0, 905.0)	(34.0, 1372.0)	(35.0, 1906.0)	(36.0, 3229.0)	(37.0, 7924.0)	(38.0, 28054.0)						
clean_SRR37461706_R2	(17.0, 5.0)	(18.0, 19.0)	(19.0, 27.0)	(20.0, 33.0)	(21.0, 54.0)	(22.0, 69.0)	(23.0, 89.0)	(24.0, 126.0)	(25.0, 201.0)	(26.0, 223.0)	(27.0, 344.0)	(28.0, 458.0)	(29.0, 532.0)	(30.0, 719.0)	(31.0, 856.0)	(32.0, 1097.0)	(33.0, 1434.0)	(34.0, 1951.0)	(35.0, 3038.0)	(36.0, 5200.0)	(37.0, 12861.0)	(38.0, 16368.0)		
clean_SRR37461707_R1	(20.0, 1.0)	(21.0, 7.0)	(22.0, 11.0)	(23.0, 21.0)	(24.0, 25.0)	(25.0, 66.0)	(26.0, 120.0)	(27.0, 174.0)	(28.0, 333.0)	(29.0, 391.0)	(30.0, 630.0)	(31.0, 776.0)	(32.0, 1163.0)	(33.0, 1517.0)	(34.0, 2101.0)	(35.0, 3082.0)	(36.0, 4818.0)	(37.0, 11198.0)	(38.0, 38046.0)					
clean_SRR37461707_R2	(16.0, 1.0)	(17.0, 11.0)	(18.0, 28.0)	(19.0, 35.0)	(20.0, 53.0)	(21.0, 90.0)	(22.0, 150.0)	(23.0, 228.0)	(24.0, 305.0)	(25.0, 389.0)	(26.0, 535.0)	(27.0, 640.0)	(28.0, 768.0)	(29.0, 977.0)	(30.0, 1250.0)	(31.0, 1452.0)	(32.0, 1788.0)	(33.0, 2320.0)	(34.0, 3137.0)	(35.0, 4485.0)	(36.0, 7219.0)	(37.0, 17106.0)	(38.0, 21513.0)	
