Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
clean_SRR24510779_R2	(1.0, 36.275628831113934)	(2.0, 16.952018600718663)	(3.0, 11.033608116677234)	(4.0, 7.846121327414924)	(5.0, 5.4322553371380256)	(6.0, 3.83005707038681)	(7.0, 2.988797294440922)	(8.0, 2.299725216656098)	(9.0, 2.206721623335447)	('>10', 10.665821179454662)	('>50', 0.46924540266328474)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510780_R1	(1.0, 23.895981582251988)	(2.0, 14.964420259522813)	(3.0, 10.72886144830473)	(4.0, 8.842611971536208)	(5.0, 6.985140226035997)	(6.0, 5.509627459187945)	(7.0, 4.669840937630807)	(8.0, 3.1812473838426123)	(9.0, 2.684177480117204)	('>10', 18.21630389284219)	('>50', 0.321787358727501)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510780_R2	(1.0, 30.525324403516112)	(2.0, 15.042904981163666)	(3.0, 10.760255336961071)	(4.0, 7.565927166178317)	(5.0, 6.331100879028882)	(6.0, 4.928840519045625)	(7.0, 4.120447886144831)	(8.0, 2.825449979070741)	(9.0, 2.731268313101716)	('>10', 14.87023859355379)	('>50', 0.29824194223524486)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510782_R1	(1.0, 28.726042085511327)	(2.0, 17.893043827905107)	(3.0, 12.82669883393647)	(4.0, 9.060447661171425)	(5.0, 6.567484251440827)	(6.0, 5.227181342983514)	(7.0, 4.198498860742528)	(8.0, 3.0022785149443774)	(9.0, 2.261761158021713)	('>10', 10.236563463342716)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510782_R2	(1.0, 35.715721753116206)	(2.0, 17.236295402761023)	(3.0, 11.58021712907117)	(4.0, 8.283071974266184)	(5.0, 6.299423669749363)	(6.0, 4.6039404905508645)	(7.0, 3.963945851762498)	(8.0, 2.251708886208283)	(9.0, 1.8998793727382386)	('>10', 8.16579546977617)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461704_R1	(1.0, 16.878378147965012)	(2.0, 9.52445907006087)	(3.0, 7.345393783355216)	(4.0, 6.247335845453461)	(5.0, 5.422087333117359)	(6.0, 4.746884004842367)	(7.0, 3.6522361847601834)	(8.0, 3.628365360023189)	(9.0, 2.9923783866732596)	('>10', 33.41233439615338)	('>50', 4.668451294992242)	('>100', 1.4816961926034544)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461704_R2	(1.0, 19.292741564221043)	(2.0, 9.650633429384985)	(3.0, 7.560231205988168)	(4.0, 5.68125628740473)	(5.0, 4.850892598339272)	(6.0, 4.838957185970775)	(7.0, 3.7715903084451567)	(8.0, 3.5192415897969274)	(9.0, 3.0844515678016675)	('>10', 31.60326689287115)	('>50', 4.451908813449505)	('>100', 1.6948285563266212)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461705_R1	(1.0, 17.82004183438505)	(2.0, 10.992951433442899)	(3.0, 8.948691357156669)	(4.0, 7.937986676275685)	(5.0, 6.679439630169974)	(6.0, 5.821658961874462)	(7.0, 4.89708389727725)	(8.0, 3.6561143238825125)	(9.0, 3.796734105570301)	('>10', 27.66869979434357)	('>50', 1.7805979856216274)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461705_R2	(1.0, 18.415918159287056)	(2.0, 10.135170765147388)	(3.0, 9.069975918862387)	(4.0, 7.755180960081559)	(5.0, 6.38941133043891)	(6.0, 5.674008191102283)	(7.0, 4.749433126505071)	(8.0, 4.134221581620995)	(9.0, 3.6859960274911674)	('>10', 28.290942328312035)	('>50', 1.3183104533230212)	('>100', 0.3814311578281275)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR37461706_R1	(1.0, 20.011377559950986)	(2.0, 12.427796254157185)	(3.0, 9.22895151409067)	(4.0, 7.85051636618239)	(5.0, 6.487397164361981)	(6.0, 5.5925083143707335)	(7.0, 4.947050586381936)	(8.0, 4.218449151058988)	(9.0, 3.2885524242954665)	('>10', 24.354542272011205)	('>50', 1.5928583931384563)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
